step,speedX,speedY,speedZ,angle,trackPos,z,rpm,gear,steer,accel,brake,target_speed,target_brake,front,front_delta,left_front,right_front,apex_target,trackPos_delta,left_open,right_open,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
31,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,10629.3,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
32,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,10847.3,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
33,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,11065.1,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
34,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,11282.6,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
35,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,11499.9,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
36,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,11716.9,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
37,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,11933.7,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
38,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,12150.2,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
39,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,12366.4,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
40,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,12582.4,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
41,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,12798.5,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
42,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,13015.0,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
43,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,13231.9,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
44,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,13449.1,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
45,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,13666.8,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
46,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,13884.9,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
47,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,14103.3,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
48,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,0.29302,14322.2,1,-0.022442872406234195,0.8,0.0,118,0.0,62.0267,0.0,140.486,59.6744,0.0,0.0,140.486,59.6744,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
49,-0.0165872,0.0139126,0.00254233,0.0087158,0.33345,0.293036,14761.1,1,-0.018992843267984984,0.8,0.0,118,0.0,61.8891,-0.13759999999999906,139.767,59.5473,0.0,1.1000000000038757e-05,139.767,59.5473,5.70581,12.646,22.5471,139.767,90.6273,77.1409,71.487,67.1886,64.4277,61.8891,59.5473,57.3805,54.6055,51.7547,47.1631,40.0057,31.0007,22.7402,11.2174
50,0.178933,-0.00941609,0.00373481,0.00866621,0.333445,0.293041,5249.36,1,-0.01933891298761377,0.8,0.0,118,0.0,61.902,0.01290000000000191,139.837,59.5591,0.0,-5.000000000032756e-06,139.837,59.5591,5.70557,12.6442,22.5387,139.837,90.6557,77.1616,71.5045,67.2042,64.4416,61.902,59.5591,57.3913,54.6154,51.7635,47.1703,40.0111,31.0047,22.7427,11.2179
51,0.143905,-0.00208158,0.00438128,0.0086748,0.333436,0.293055,5264.23,1,-0.01927659878532275,0.8,0.0,118,0.0,61.8987,-0.0033000000000029672,139.822,59.556,0.0,-8.999999999981245e-06,139.822,59.556,5.7057,12.6447,22.5413,139.822,90.6492,77.1564,71.5002,67.2002,64.438,61.8987,59.556,57.3886,54.6127,51.761,47.1682,40.0095,31.0034,22.7419,11.2177
